BRAND NAME,INDICATION,WOMEN,WHITE,BLACK OR AFRICAN AMERICAN,ASIAN,"ALL OTHER (Aggregated):
American Indian or Alaska Native (AI/AN), Native Hawaiian or Other Pacific Islander (NH/OPI), Unknown/Unreported",HISPANIC OR LATINO (2017 AND LATER ONLY),UNITED STATES (2017 ONLY),YEAR
ALIQOPA,Treatment of relapsed follicular lymphoma,54%,83%,0%,9%,8%,6%,13%,2017
ALUNBRIG,Treatment of metastatic non-small cell lung cancer,57%,67%,1%,31%,1%,6%,NR,2017
AUSTEDO,Treatment of chorea associated with Huntington’s disease,44%,92%,6%,0%,2%,0%,93%,2017
BAVENCIO,Treatment of metastatic Merkel cell carcinoma,26%,92%,0%,3%,5%,6%,58%,2017
BAXDELA,Treatment of acute bacterial skin and skin structure infection,37%,86%,5%,0%,9%,28%,52%,2017
BESPONSA,Treatment of B-cell acute lymphocytic leukemia,41%,71%,2%,17%,10%,NR,47%,2017
BEVYXXA,Prevention of venous thromboembolism,54%,93%,2%,<1%,5%,11%,7%,2017
BRINEURA,Treatment of Batten disease,63%,96%,0%,4%,0%,4%,13%,2017
CALQUENCE,Treatment of mantle cell lymphoma,20%,74%,3%,0%,23%,3%,36%,2017
DUPIXENT,Treatment of atopic dermatitis,42%,67%,6%,24%,3%,4%,34%,2017
EMFLAZA,Treatment of Duchenne muscular dystrophy,0%,94%,0%,1%,5%,NR,NR,2017
FASENRA,Treatment of eosinophilic asthma,63%,80%,3%,12%,5%,20%,15%,2017
GIAPREZA,To increase blood pressure in septic or other distributive shock,39%,80%,10%,4%,6%,5%,74%,2017
HEMLIBRA,To prevent or reduce bleeding in patients with hemophilia A,0%,56%,11%,26%,7%,12%,28%,2017
IDHIFA,Treatment of relapsed acute myelogenous leukemia,49%,77%,6%,<1%,17%,9%,83%,2017
IMFINZI,Treatment of urothelial carcinoma,28%,64%,3%,20%,13%,NR,49%,2017
INGREZZA,Treatment of tardive dyskinesia,42%,57%,39%,<1%,4%,28%,100%,2017
KEVZARA,Treatment of rheumatoid arthritis,82%,81%,3%,6%,10%,39%,14%,2017
KISQALI,Treatment of HR-positive; HER2-negative breast cancer,100%,82%,3%,8%,7%,10%,32%,2017
MACRILEN,Diagnosis of adult growth hormone deficiency,42%,86%,2%,3%,9%,NR,24%,2017
MAVYRET,Treatment of chronic hepatitis C genotypes 1; 2; 3; 4; 5 or 6,44%,80%,6%,12%,2%,9%,32%,2017
MEPSEVII,Treatment of mucopolysaccharidosis VII,67%,75%,0%,0%,25%,50%,100%,2017
NERLYNX,Treatment of HER2 positive breast cancer,100%,81%,3%,13%,3%,2%,32%,2017
OCREVUS,Treatment of multiple sclerosis,61%,92%,4%,0%,4%,11%,26%,2017
OZEMPIC,Treatment of type 2 diabetes mellitus,42%,70%,6%,22%,2%,16%,28%,2017
PARSABIV,Treatment of secondary hyperparathyroidism in patients with chronic kidney disease on hemodialysis,40%,66%,28%,3%,3%,13%,52%,2017
PREVYMIS,Prevention of cytomegalovirus infection in allogeneic hematopoietic stem cell transplant,42%,82%,2%,10%,6%,7%,36%,2017
RADICAVA,Treatment of amyotrophic lateral sclerosis,39%,0%,0%,100%,0%,0%,0%,2017
RHOPRESSA,Treatment of open angle glaucoma,62%,73%,25%,2%,0%,19%,100%,2017
RYDAPT,Treatment of acute myelogenous leukemia,56%,38%,2%,2%,58%,2%,33%,2017
RYDAPT,Treatment of systemic mastocytosis,36%,93%,1%,0%,6%,3%,41%,2017
SILIQ,Treatment of plaque psoriasis,31%,91%,3%,3%,3%,NR,22%,2017
SOLOSEC,Treatment of bacterial vaginosis,100%,46%,50%,1%,3%,15%,100%,2017
STEGLATRO,Treatment of type 2 diabetes mellitus,48%,77%,5%,13%,5%,24%,28%,2017
SYMPROIC,Treatment of opioid-induced constipation,62%,80%,18%,1%,1%,8%,85%,2017
TREMFYA,Treatment of plaque psoriasis,29%,82%,2%,14%,2%,6%,20%,2017
TRULANCE,Treatment of chronic idiopathic constipation,79%,72%,23%,3%,2%,41%,98%,2017
TYMLOS,Treatment of postmenopausal osteoporosis,100%,80%,3%,16%,1%,24%,2%,2017
